user,tweet,who
GRAVITON,What if even after all this - and hear me out -  Trump  still wins?,__label__trump
Speedy,2 white dudes then tried to kill  trump . It really be your own people,__label__trump
FutureTrump,"Mystery as billionaire investor Daniel Reiner, 72, is found dead in his private lake in sprawling Washington estate",__label__trump
0101_FIFO,Yet another disinformation campaign.  They didn’t try to take out Traitor- Trump .,__label__trump
"I know stuff, I post it","U.S. feds (Democrats) hate President  Trump  because he eliminated Islamic TERRORISTS......while the  #DeepState  feds, FBI, DHS, CIA etc and Democrats are now controlled by Islamic TERRORISTS (Muslim Brotherhood) @elonmusk   @SebGorka   @GenBoykin   @GenFlynn   @MikeBenzCyber   @JamieGlazov",__label__trump
St. Weemy,"Mind you  trump  just had another attempt on his life, media is insane on what they choose to cover",__label__trump
StarBard,Noooo President  Trump  don't touch that pager!!,__label__trump
erick correa,Trump  Says There''s ''No Such Thing As Obamacare Anymore'' One Month Before Enrollment Starts. It''s still the law of the land.,__label__trump
Dippko,Take a leap of Faith. Trump  is The Main character God has given him plot armor for he is integral in God's plan what ever that plan maybe.  It needs to unfold like this dark before light its gonna look a lot worse before it gets better.  Have Faith.  Trust in the plan.  49 Days,__label__trump
"I know stuff, I post it","U.S. feds (Democrats) hate President  Trump  because he eliminated Islamic TERRORISTS......while the  #DeepState  feds, FBI, DHS, CIA etc and Democrats are now controlled by Islamic TERRORISTS (Muslim Brotherhood) @elonmusk   @SebGorka   @GenBoykin   @GenFlynn   @MikeBenzCyber   @JamieGlazov",__label__trump
St. Weemy,"Mind you  trump  just had another attempt on his life, media is insane on what they choose to cover",__label__trump
StarBard,Noooo President  Trump  don't touch that pager!!,__label__trump
erick correa,Trump  Says There''s ''No Such Thing As Obamacare Anymore'' One Month Before Enrollment Starts. It''s still the law of the land.,__label__trump
Dippko,Take a leap of Faith. Trump  is The Main character God has given him plot armor for he is integral in God's plan what ever that plan maybe.  It needs to unfold like this dark before light its gonna look a lot worse before it gets better.  Have Faith.  Trust in the plan.  49 Days,__label__trump
Bill Tice,1000 % YES  !!,__label__trump
Jeffrey Norman,Why?   Trump  is a better candidate,__label__trump
Cartier Nipsey Gucci,Trump  2024,__label__trump
Scrungly,Someone should make  Trump  look like Minos prime,__label__trump
matt hew,there always some shit stain of a  country injecting themselves into every other countries problems but feels harassed and threatened when an outsider does the same for them. ironic.,__label__trump
WhoIAm,"""They're eating the dogs, they're eating the cats, the pets of the people who live there."" This  is yet another LIE aimed at THE OTHER. Perfect example of  Trump  ginning up hatred for brown people.",__label__trump
stacheman,We are n that's why we're all voting  Tr ump!! U suck,__label__trump
Rick Newcomer,"She’s scared out of her mind, knowing that  Trump  has a special oceanfront cell for her in Gitmo.",__label__trump
EastBradenham (I follow back),Trump  doesn't give a shit about anyone except himself. He's only running to stay out of prison.,__label__trump
Alvin Eubanks,TRUMP  IS LOOSING!,__label__trump
Louis de Pointe du Lac,"And yes, putting someone in jail, let alone their parents, for having thoughts…incredibly dangerous precedence you’d be setting.  How do you think  Trump  would act with that authority with leftists on here?",__label__trump
John Hawkes,"It seems to me that the BBC is quick to jump on anything that paints  Trump  or Musk in a negative light during this U.S. election campaign, even if it's not really  that newsworthy.  How is that balanced and fair reporting from a public broadcaster?  I’m personally not a  Trump",__label__trump
Eileen aka Alien McLaughlin,This from Mike Johnson who helped  trump  with fake electors in 2020,__label__trump
Frank,Wouldn't have Voted for  Trump  if I did,__label__trump
Hell's Scorpions - 6,Democrats are calling for harm to President  Trump !,__label__trump
Louis de Pointe du Lac,"And yes, putting someone in jail, let alone their parents, for having thoughts…incredibly dangerous precedence you’d be setting.  How do you think  Trump  would act with that authority with leftists on here?",__label__trump
John Hawkes,"It seems to me that the BBC is quick to jump on anything that paints  Trump  or Musk in a negative light during this U.S. election campaign, even if it's not really  that newsworthy.  How is that balanced and fair reporting from a public broadcaster?  I’m personally not a  Trump",__label__trump
Eileen aka Alien McLaughlin,This from Mike Johnson who helped  trump  with fake electors in 2020,__label__trump
Frank,Wouldn't have Voted for  Trump  if I did,__label__trump
Hell's Scorpions - 6,Democrats are calling for harm to President  Trump !,__label__trump
Della,"It's not just  Trump  calling for violence. It's many other GOP too. For example, look at this political ad Greitens made a couple years ago.   ‘RINO Hunting’ Ad Aimed At Republicans Draws Bipartisan Criticism  https:// =axj1Pap-TRd9iEha …  via  @YouTube",__label__trump
Working Class Hero,Who gives a fuck what these two zeros think? I heard Melvin Schmedrick just came out for  Trump,__label__trump
DaBruinz,How exactly was it proven  Trump  is not involved?  On his say so?  If that is all you have then you better prove something far more entertaining to this,__label__trump
JACOB,This “Fact checkers Unite” account is just one more account to add to the MANY Krassenstein Bros X accounts so they can further shill for the Democrats and trash  Trump  with more inflammatory crap to try and get him shot at again.  Damn these two nasty guys.,__label__trump
JamesJMorrison,I'm surprised you are trying to compare the 2 sides. Not even close.,__label__trump
Trump 2024,"Why don't you use your unfiltered photo, fat girl?",__label__trump
"Stop Trump Project 25, Agenda 47",you're Kookoo for Coco Puffs.,__label__trump
Ser Solitude,Is it bad that i am laughing at these?  Im sorry but the method  trumps  the morality of this. It really does.,__label__trump
Jason Nguyen,"He was saved by our Lady on Her Feast Day, Our Lady of Sorrows. Blessed Mother, please protect Pres.  Trump  from all dangers and guide him in Your Son’s will.",__label__trump
HealthyEarth #OverallMortality #AlgaeCanSave,"Trump  is looking ahead and seeing the debt and Biden's warmongering nearly bankrupting the US and pushing us to an edge. In the Kamala War & Free Giveaways Society we get to that edge so much faster, facing HYPERINFLATION  and ... (eating pets?). With disaster looming,  Trump , who",__label__trump
Proudly Blue,"Has  Trump  tweeted out yet ""I hate Billie Eilish""?  The endorsement of Billie Eilish is a big effing deal.  Her words are a dire warning for all of us, not just women, to ""Vote like your life depends on it"".",__label__trump
Remo,"Whenever I read something like this, at this point my immediate go to is, ""Yeah, that's not true"". Then I look deeper and nope, not true. Had nothing to do w  Trump .",__label__trump
Miles Traveler,Are you a  Trump  supporter? I'm sure the deep state is taking notes.,__label__trump
ELIAS ALFREDO DOS SANTOS,"Boa tarde         a todos os guerreiros da família elon muskulo e cérebro, bolsonaro brasil, milei, bukele, trump  e etc.......",__label__trump
Real America's Voice (RAV),Trump  wanted to continue his golf game. Sen  @JDVance  details his phone call with Pres.  Trump  after the attack on his life.  #assassinationattempt Watch LIVE coverage here   https:// ce-delivers-remarks-in-sparta-michigan.html … Get RAV 24/7    http://,__label__trump
"God-zilla is king, MAGA, Trump Vance 2024",Hi,__label__trump
Roberto Brasil,"The Democratic party is Cancer in America, the cure can only come through the people and the Republicans! God protect President Tr ump",__label__trump
Michael McKegney,And I understand it’s a SERIOUS union they’ve joined! . . . (btw I think Biden Admin has generally been good on labor issues - and Harris/Walz would clearly be much better than  Trump /Vance/ElonMusk!),__label__trump
Ron Waxman,It is a stain on the country that  Trump  was President.,__label__trump
@dlee2033,Trump 's J6 mortal sin against our republic is the only thing Americans should care about in this election.  Harris is the only choice if you believe in the rule of law and not the rule of one man.,__label__trump
Shawn Smith,I would have double-sided signs with  Trump  on the street side and Harris on the house side. He would have to check every sign in his district. LOL.,__label__trump
Abby,Yep.. I hope he takes  Trump  down with him,__label__trump
Gerald Shewan - Sic Transit Gloria Mundi,".⁦ @marcthiessen ⁩: ""We are still learning about this gunman, but  Trump  assigns blame to Democratic campaign rhetoric that portrays him as a threat to democracy.""  He is wrong, Marc. It is a fact.  Trump  is a threat to democracy. Now report me to  @FBI .",__label__trump
Rhonda Harbison,https:// an-americans-fear-their-safety-after-trump-repeats-false-claims-about-2024-09-11/ … Haitian Americans fear for their safety after  Trump  repeats false claims ...,__label__trump
Rhonda Harbison,https:// an-americans-fear-their-safety-after-trump-repeats-false-claims-about-2024-09-11/ … Haitian Americans fear for their safety after  Trump  repeats false claims ...,__label__trump
Rick O'Connell,"All this to attempt to minimize the fact that someone heeded the call from the left to get rid of  Trump . He waited hours to try and kill the person you demonize every day, then you act as if it's nothing. Shame on you.",__label__trump
Tommy Doverspike,"Petey B - I love your stance on alcohol and drugs, and I commend you for turning your life around.  That being said, I would bet very good money that  Trump  does not win.  I am on the ground in Pennsylvania and Kamala signs are popping up everywhere.  Life isn’t so bad right now…",__label__trump
Bill,"How about those Haitians JD and  Trump  are targeting? Might some of them get killed JD?  Democrats are just repeating things that you and Fat Donnie say, right HD?",__label__trump
Mick1775,Ironic that they arrest Diitty right after another assassination attempt on Donald  Trump . Yet again we get a  diversion and another deflecting news story for the propaganda media to push!,__label__trump
Talby,"Yep! The same DOJ, FBI etc that are trying to take down  Trump  are the same ones investigating his attempted assignations!   Have it make sense?",__label__trump
NoToFacism,"This is the most frustrating group ever  They thought Harris was better, their opinion of her improved and theirs of  Trump  worsened  Yet almost none of them wanted to vote for Harris and many still are choosing  Trump You don't have to win undecided voters, you gotta educate them",__label__trump
anjulicious,"Trump  wants to jail anyone criticizing Jews or Israel, he's no better.",__label__trump
Fred O'Brien,Arrest and charge  trump  with manslaughter.,__label__trump
Jeremy Allen,Do you realize  Trump  tax cuts are still active. The inflation reduction act caused record high costs on everything,__label__trump
Elizabeth Spurlock,"Wow, Guns and Roses? I’m shocked!",__label__trump
Irene Kosarek,"Mr. Stern, we’re voting for president  Trump . Thank you for saying you hate us for doing so, it makes us feel good to know we’ve frustrated another liberal who can’t stand someone not following them. And don’t worry, we don’t listen to your garbage show anyway.",__label__trump
Trump is headed for prison,We love to see it,__label__trump
StevieMO!,"I just enjoy folks being as accurate as they can. He could still vote or root for  Trump , but he’s speaking the truth (here, at least)—and I always appreciate that.",__label__trump
Miss Do Tell,"Here is what we know so far: Kamala Harris has said that “democracy is on the line"" in her race against President  Trump . The gunman agreed and used the exact same phrase. He had a Biden-Harris bumper sticker on his truck. He was obsessed with Ukraine’s “fight for democracy” and",__label__trump
Haihaix,Wer andere ist komischerweise immer Geld da. Nur für die eigene Bevölkerung nicht. Wie passt das zusammen? Warum andere zuerst?  Trump  hat absolut recht mit seinem America First.,__label__trump
Mary Bakko,Yes,__label__trump
Wayne Tennessee Vols,Trumps  no better.,__label__trump
Shiny Objects,Back row window seat. I fake being a sensitive yet masculine  Trump  hater and score myself a mile high hand job under one of those little blankets they give you while Joy Reid is loudly snoring two seats over.,__label__trump
Marcus S.,"It's not just  Trump , either. JD Vance himself has incited violence with this Haitian bullshit he's been spreading.",__label__trump
Jack,100%.,__label__trump
Fire David Bell SZN (Vote TRUMP To Save America),We WILL BE voting Red,__label__trump
StrongMilitaryUSA,"Registered REPUBLICANS are taking shots at  Trump , period, not the left. Easy fact to confirm This one supported  Trump  then Nikki then DeSantis Did  Trump  think HIS violent rhetoric & encouraged violence wouldn't come home to roost? His comrade MAGAs are doing this don't blame left",__label__trump
Jamie Beller,"@dbongino   @greggutfeld  Based on the lefts definition of inciting violence, as they have used with reference to President  Trump , are they not guilty of the same?",__label__trump
Haihaix,Wer andere ist komischerweise immer Geld da. Nur für die eigene Bevölkerung nicht. Wie passt das zusammen? Warum andere zuerst?  Trump  hat absolut recht mit seinem America First.,__label__trump
Mary Bakko,Yes,__label__trump
Wayne Tennessee Vols,Trumps  no better.,__label__trump
Shiny Objects,Back row window seat. I fake being a sensitive yet masculine  Trump  hater and score myself a mile high hand job under one of those little blankets they give you while Joy Reid is loudly snoring two seats over.,__label__trump
Marcus S.,"It's not just  Trump , either. JD Vance himself has incited violence with this Haitian bullshit he's been spreading.",__label__trump
Jack,100%.,__label__trump
Fire David Bell SZN (Vote TRUMP To Save America),We WILL BE voting Red,__label__trump
StrongMilitaryUSA,"Registered REPUBLICANS are taking shots at  Trump , period, not the left. Easy fact to confirm This one supported  Trump  then Nikki then DeSantis Did  Trump  think HIS violent rhetoric & encouraged violence wouldn't come home to roost? His comrade MAGAs are doing this don't blame left",__label__trump
Jamie Beller,"@dbongino   @greggutfeld  Based on the lefts definition of inciting violence, as they have used with reference to President  Trump , are they not guilty of the same?",__label__trump
Don Bard,In addition to the  Trump  endorsement.  Boeing is deeply imbedded with the FAA.  And are very upset that Space X is bringing their astronauts home in Feb.,__label__trump
BEYOND UNIQUE,A filled out 1099  Trump Don't pay taxes lol,__label__trump
richard elliott,Trump  cares about the USA you care about the world. There lies the first conflict.,__label__trump
TomJode C/O AINDREAS RYAN,AI  Trump : What Are You Gonna Do?  https:// =QhScoeHuthBTiIYt …  via  @YouTube,__label__trump
AlamedaCraftHall,"He actually said so:  ""I don't care about you, I just want your votes."" trump  is causing the violence with his political rhetoric.",__label__trump
Kaleb,U sure ur watching the same series as I did? They clearly make fun of both sides   It ain’t even that deep anyway it’s a s  how it’s not like they say don’t vote for Trump or Kamala,__label__trump
@Nero's Fiddle - GOP has a terrorism problem,"Well he also tweeted about support for Vivek and Haley and supported Tulsi Gabbard and voted for  Trump  in 2016 and was a registered Republican, so you may have oversimplified things (as flaming propagandists are prone to do).",__label__trump
Michael Lieblich,"A country of slaves, and a few with guns to rule them.",__label__trump
CyCeaux,"@TheDemocrats  A top Senate Democrat blasted the Biden-Harris administration for ""stonewalling"" in response to requests for information on the assassination attempts on former President  Trump  and the potential failures of the U.S. Secret Service.",__label__trump
Global media corp,Vote for  trump,__label__trump
Sandi Poundstone,Fine example of the hate and rhetoric from the press to incite violence to the point of assassination attempts. She clearly said to shoot our duly elected and most beloved President Donald John  Trump . She should be held accountable.Nothing will be done she has a commie free pass.,__label__trump
Deborrah Marie Drorbaugh,LOL,__label__trump
Kaleb,U sure ur watching the same series as I did? They clearly make fun of both sides   It ain’t even that deep anyway it’s a s  how it’s not like they say don’t vote for Trump or Kamala,__label__trump
@Nero's Fiddle - GOP has a terrorism problem,"Well he also tweeted about support for Vivek and Haley and supported Tulsi Gabbard and voted for  Trump  in 2016 and was a registered Republican, so you may have oversimplified things (as flaming propagandists are prone to do).",__label__trump
Michael Lieblich,"A country of slaves, and a few with guns to rule them.",__label__trump
CyCeaux,"@TheDemocrats  A top Senate Democrat blasted the Biden-Harris administration for ""stonewalling"" in response to requests for information on the assassination attempts on former President  Trump  and the potential failures of the U.S. Secret Service.",__label__trump
Global media corp,Vote for  trump,__label__trump
Sandi Poundstone,Fine example of the hate and rhetoric from the press to incite violence to the point of assassination attempts. She clearly said to shoot our duly elected and most beloved President Donald John  Trump . She should be held accountable.Nothing will be done she has a commie free pass.,__label__trump
Deborrah Marie Drorbaugh,LOL,__label__trump
Patriot Thru & Thru!,Yes,__label__trump
TasteBuddies,"Pack your bags Bob, this country loves  Trump  & they R hell bent on paying the price to Lose the Republic & Democracy!  Trump  Dictatorship 24/7, 365! Project 2025 For Life!",__label__trump
Fred Kimball,From  Trump  Acres nursing home?,__label__trump
justiceforall,you are the vile congressperson who only second to  trump  is completely self serving. Oh and i guess  trump  thru you over for his new Loomer lover,__label__trump
Jim,Trump -where the ketchup meets the wall!  How many empty Hail Mary passes is he going to throw between now & Election Day?,__label__trump
Uke,"I find it ironic that the man that called  trump  (the man who’s called Kamala a communist, marxist, and fascist)  hitler last year now he’s saying democrats need to calm down the rhetoric",__label__trump
WSBlondie,Best night ever.  The ugly crying at the Javitz. And she never comes out.  I will love  Trump  forever for keeping her from becoming President.,__label__trump
J.A.Murphy,No nothing to do with Jan 6th.   Do you recall  Trump  going into hiding while tear gas and riot gear equipped police were in cities across the country?,__label__trump
Childless Cat Ladies Against Trump,It's malarkey!,__label__trump
Pedro MoralesAlmazan,"A la hora de considerar no solo las encuestas sino también la data histórica, mi modelo da una leve ventaja para  Trump .  Harris 47% Trump  51% Empate 2%  Estas son probabilidades empíricas con 10,000 simulaciones tomando en cuenta correlación entre estados.",__label__trump
El B,Yup because  Trump  allowed for in office and let the racist bigots come out of the closet.,__label__trump
chrisjurek,"Sure. Both Atlas and Trafalgar, you know 2 of the 3 most accurate polls for the last two Presidential elections both have  Trump  +2  ahead. And, btw, historically speaking  Trump  outperforms polling.",__label__trump
Deborah McIntire,Attaching the SAVE Act is pure political theatre. Our elections ARE safe.  Trump  filed over 60 lawsuits & every single one failed bc there was NO evidence of election fraud. Taking this tactic is NOT being responsible.,__label__trump
UKpbr2,"But, and here’s the hilarious thing, he never fired a shot at  trump . So how is it attempted murder???   If only you showed as much empathy to murdered children in classrooms then the world would be a better place.",__label__trump
DAPPER DON DHARSHI • K A M I L •,Donald  Trump  is weird. Laura Loomer is very very weird.  JD Vance is very weird. Elon Musk is really really weird. Lindsey Graham is weird af. Tim Scott is so so so weird. Mike Johnson is incredibly weird. Ted Cruz is insufferably weird. Republicans are fucking weird.  Vote Blue.,__label__trump
DTLA Crime,Trump  now has the highest Latino vote in his entire political career,__label__trump
Dub,He was a never  trump  republican. That doesn't make them leftists you troglodyte.,__label__trump
Trans_Melissa,I do love how the promises are flying left and right from Mr.  Trump !  Anything to get a vote!,__label__trump
Dub,He was a never  trump  republican. That doesn't make them leftists you troglodyte.,__label__trump
Trans_Melissa,I do love how the promises are flying left and right from Mr.  Trump !  Anything to get a vote!,__label__trump
Mosun,Make sure you GO OUT on the 5th of November and vote   #Trump   to end all these cretinous talks that will not help America.  #USElection2024   #TrumpToSaveAmerica,__label__trump
Crypto Eek Inc.,She is not a good singer. She's cute but nothing exceptional. She's definitely hot or intelligent.,__label__trump
Esther Elder,No she’s more qualified than  Trump,__label__trump
Steven Heydemann,"The threat of state-sponsored, paramilitary and vigilante violence when  Trump  loses is very real.",__label__trump
Forbes,"DeFi,  Trump  Style: A Family Circus  http://",__label__trump
Austey M.,She did not mean that all troops were in America  .  Trump  has said about a hundred times that there were no wars while he was POTUS. Except the war in Afghanistan that he conveniently repeatedly forgets.,__label__trump
Yemeni,Sen kimsin ki seni inandırmaya çalışalım? Sen git  Trump  ve Biden'leri dinlemeye devam et onlara çok iyi inandığınızı biliyoruz!,__label__trump
Glenda,"Apparently only Republicans were taught how to read and comprehend at the same time. Democrats just take the word of their president ""this is good pass it"" without enough sense to read or comprehend. Wake up America vote  Trump ... let's get our country back from illegal immigrants",__label__trump
John Millington,"People have finally had the time to analyze her enough, to determine that the wonderful rumor about her is actually true: she's not  Trump !",__label__trump
Digital Algorist,"“SpaceX facing penalties isn’t surprising given the growing tension between Elon Musk and the government. The timing, following his  Trump  endorsement, does raise eyebrows. Whether coincidence or retaliation, this will only fuel more speculation about political motives.”",__label__trump
Rachel Davila,Trump  and Vance are declaring war on the poor! Saying they want to get rid of welfare and income based housing!  #RepublicansAreDestroyingAmerica   #VoteHarrisWalz2024,__label__trump
Churchill,"Just so I understand this, Democrats are reason Republicans are trying to kill  Trump ?? this is taking blame placing to a higher level especially since these people only have easy access to guns because of  Trump  & republicans.. & they're angry based on GOP lies  #TakeResponsibility",__label__trump
Anthony Barrino,"If  Trump  tweeted, I HATE YOU TAYLOR SWIFT, because she didn't endorse him, and he tweeted about Kyle Rittenhouse and he hates anybody that don't support him.   Can you imagine how much hate he has for black people.....Black people charged with a crime, indicted him of the crime,",__label__trump
Daltxman,This is nothing compared to what  Trump  and Vance say every day.  They lie and lie at every juncture and admit it.,__label__trump
Neeraj Goswami,"Looks like a political move to me. Elon Musk supports  Trump , and now SpaceX is getting targeted. Coincidence? I doubt it.",__label__trump
Jockstrap McGee,Seth posted just yesterday polls showing  Trump  up in PA and Georgia. Trafalgar had him up in Arizona too. He's also had recent leads in Michigan with 2 pollsters who have never had him leading before.,__label__trump
Charlotte Warnick,Yes! America First with legal naturalized  immigrants included. NO ILLEGALS!!,__label__trump
△ subwfr,squint to see  trump,__label__trump
Ford Forkum™,"There is a major difference between what Elon posted and the MSM saying that  Trump  is a threat to democracy (which is a legitimate assertion.)  Elon clearly lacks the nuanced understanding, judgment, and  temperament to be of any value to improving America for the average person.",__label__trump
ppyrek,"Harris is VP and she hasn't done anything for productive rights. Her and Biden failed us, so we're voting for  Trump  because  Trump  gets things done for democracy.  Trump  will get Congress to pass national abortion legislation & border legislation where Biden and Harris have failed.",__label__trump
Matt Clark,Well GNR can eat   now.,__label__trump
Sandy Peterson,"We have lost Presidents, you moron.  And since when do you  trump  people care what our country “looks” like!!!",__label__trump
Mrs. Fleming,"Lies told by  Trump  45,000  Lies told by Harris less than 5",__label__trump
BrooklynDad_Defiant!,"After years of harassment and ""lock her up"" chants, nobody deserves to watch the fiery embers of Karma cook  trump  more than Hillary Clinton.  ""Looks like Karma to me.""",__label__trump
Trump'sConscience,"Yep.   Trump  hasn’t said anything to make me believe he’ll govern more responsibly and to the right than last time, at least not without saying something 180 degrees different on a subsequent speech.  On the contrary, this lame duck has already moved further leftward.",__label__trump
Robbin,Take the L- your whataboutism failed miserably. 4x as many soldiers died on  Trump ’s watch than Biden’s.,__label__trump
Robroy,Boosting  trump  there not been 2 attempts on his life that’s not just random pissed off opposition supporters that last shooter was supposedly in position 11 hrs prior so got heads up from someone I wonder who,__label__trump
H. Lee Graley,HELL YES WITH MASS DEPORTATION,__label__trump
B King,"Stop pretending you know science better than scientists. You don't. Stick to what you're good at, like getting blown up.  Trump  hates maimed military guys. He thinks no one wants to see guys like you and you kiss his ass. So pathetic.",__label__trump
IblockLiberals,"I wonder if Taylor Swift supports Men participating in women's sport, men showering with little kids? Christian Values???? My butt.",__label__trump
LIZARD NEWS,"La moda está llegando a UE  , ese niño si tuviera acceso a armas de fuego, fusiles, como en EEUU  , no dudaría en matar a sus compañeritos y maestros  Dantesco, lo que influyen las RRSS     Ahora en USA   la moda es tratar de cazar a  Trump",__label__trump
Political,"You’re reaching and clearly desperate to misled the public. You’ve pulled propaganda tactics right out of the German playbook when a man as vile as  Trump  was able to seize power. You should be ashamed, this will be your legacy. Not electric cars, Mars, or cybernetics/AI.",__label__trump
Frank Digiovanna,We are all voting  trump  because I can buy nothing and I have no more money,__label__trump
FLgirl,You go right ahead buddy.  You do you.  The rest of us will NOT give up our Second Amendment right.   Did you stop flying in planes when the 911 terrorists flew the planes into buildings too?,__label__trump
Tami TRUMP WON 2020,The Democrats Are the TRUE ENEMY The Democrats (LIBERALS) ARE NOT THE PARTY OF “LOVE AND JOY”  #TrumpAssasinationAttempt,__label__trump
Stuart Ouellette,"Typical, Democrat accuses  Trump  of something She is guilty of.  She has evaded accountability all her life.",__label__trump
Alicia Foster,"No,  Trump  is America's greatest mistake.",__label__trump
Daniel Irvin,"absolutely, she just wants the power and prestige she does not care about anyone but herself.",__label__trump
Shirley Ford,OH PLEASE!!!   TRUMP  DOES IT TO HIMSELF. STOP THE DAMN BLAME GAME,__label__trump
Лейла,It's been 24 hours since Bongino's warning and 48 hours since  Trump  was nearly killed again. The Republican House has not taken any action.,__label__trump
SOLANA GEMS ALERT,Please Follow Me Back Let's Collaborate,__label__trump
One Vote,Trump  must win in November or this will leach through the rest of the country and directly affect all of us.,__label__trump
The Maine Delorean 󠁵󠁳󠁭󠁥󠁿,"Hi I think you're mistaken on  Trump  & Project 2025. Many ties. 140 of  Trump 's staffers worked on it, he praised it early on video as “plans for exactly what our movement will do,” there is hidden camera evidence of  Trump  ties, & Vance wrote the Foreword to the short version",__label__trump
Captain Deplorable,#Trump   is not a threat to Democracy. He is a threat to the  #DeepState   #PEDOS  & Satanic cultists New World Order being set up by the  #WEFCabal,__label__trump
JW,The fact that they're foreign  Trump  supporters doesn't change that the threats started right after  Trump  and Vance talked about the town.,__label__trump
Jeremiah,"That's the exact talking points you're supposed to say. You might be too bias for this conversation. I've heard the rhetoric from both sides and seen the violence of both sides. You seem inclined to ignore reality. Things like ""Put  Trump  in the bullseye"" and ""Our greatest threat",__label__trump
Jim Dase,"In related news, Temu has just recalled all pagers sold through their website.",__label__trump
StrongMilitaryUSA,"Registered REPUBLICANS are taking shots at  Trump , period, not the left. Easy fact to confirm This one supported  Trump  then Nikki then DeSantis Did  Trump  think HIS violent rhetoric & encouraged violence wouldn't come home to roost? His comrade MAGAs are doing this don't blame left",__label__trump
bedofroses,I think so. Now think for a moment if they did the same for  Trump  who is actually under threat.,__label__trump
burns13,"tRUMP  encourages ""political violence"" at EVERY opportunity-For example-Jan 6th simply BECAUSE HE LOST AN ELECTION+wanted to AVOID PRISON-then recently-LYING about Haitian IMMIGRANTS in OHIO in order pit his NAZIS/FASCISTS against innocent people in a FAILED ATTEMPT to gain favor!",__label__trump
Daredevil,"Bil Clinton is a proven sexual predator unlike  Trump , and was protected by Democrats such as Hillary Clinton:",__label__trump
S Church,With the extremism on both sides.  Trump  secretly has my vote but may have to vote for any one who isn’t republican otherwise. Religion and personal beliefs do not belong in politics. The governments only role is to protect the constitution as it is written anything is is treason.,__label__trump
Judges have too much power! Term limits,I have been on this platform for a long time and I asked  Trump  long before he ran for President shouldn’t he apologize to the  @CP5CASTING  and he said “no they pleaded guilty” and I reminded him that they were children,__label__trump
⃤𝐍𝐚𝐓𝐡𝐚𝐧𝐨𝐬,"Why should I be? I’m not happy that border bill was killed. If  trump  cared about the United States, why did he put himself first? Ready to talk about the economy?",__label__trump
Mags,Johnson was at Mar-A-Lago this past weekend,__label__trump
